Gene_Id	CP08174_T1R_T-ENSEMBL	CP09800_T1R_T-ENSEMBL	CP07805_T1R_T-ENSEMBL	CP07552_T1R_T-ENSEMBL	CP06649_T1R_T-ENSEMBL	CP10449_T1R_T-ENSEMBL	CP07152_T1R_T-ENSEMBL
CALR	8.46	8.78	8.69	9.3	10.58	8.78	9.38
CALR3	3.61	1.18	0	0.24	0.97	0.57	0.08
CALU	6.92	6.98	7.17	7.46	7.43	8.35	6.49
CALY	3.93	1.19	0.15	0.08	0.36	0.37	0.03
CAMK1	3.91	3.1	2.06	1.4	3.37	3.94	2.09
CAMK1D	3.81	6.48	2.17	5.5	3.47	5.1	2.08
CAMK1G	2.44	0.41	0.3	0.18	0.33	1.1	0.28
CAMK2A	3.38	0.52	0.24	0.21	0.66	0.36	0.08
CAMK2B	4.49	7.64	0.74	1.65	2.13	1.15	0.23
CAMK2D	4.94	5.73	5.58	5.6	5.4	4.94	4.54
CAMK2G	4.89	2.91	4.35	3.12	3.11	5.05	3.29
CAMK2N1	2.96	4.16	2.23	1.48	5.35	4.99	1.41
CAMK2N2	1.93	1.8	0	0.28	0.07	1.28	0.01
CAMK4	4.11	3.14	0.99	1.17	0.86	1.93	1.1
CAMKK1	2.82	2.08	0.65	0.98	0.85	2.72	0.96
CAMKK2	4.66	4.69	2.76	3.37	3.56	4.78	2.95
CAMKMT	2.56	2.6	2	3.2	3.44	1.9	2.72
CAMKV	2.94	2.28	0.24	0.11	0.52	0.26	0.24
CAMLG	4.34	4.16	2.9	3.32	4.24	4.06	3.02
CAMP	2.86	1.38	0.71	0.14	0.58	1.48	0.06
CAMSAP1	6.66	7.33	3.3	4.47	4.43	6.89	3.36
CAMSAP2	5.2	4.97	3.04	3.87	4.96	4.6	2.63
CAMSAP3	4.96	5.06	2.88	2.38	3.98	3.3	1.85
CAMTA1	5.75	5.65	4.72	4.58	5.49	5.42	4.57
CAMTA2	6.15	5.79	3.09	3.43	3.26	5.58	3.31
CAND1	6.14	7.09	4.75	6.2	5.77	6.77	4.47
CAND2	3.29	1.89	0.24	0.32	0.3	1.25	0.23
CANT1	5.07	5.51	4.27	4.38	5.87	6.19	4.49
CANX	7.75	9.17	7.46	9.77	10.33	8.63	8.01
CAP1	7.42	6.62	7.79	7.14	6.9	9.45	6.36
CAP2	2.23	2.67	1.49	3.36	3.71	3.03	1.36
CAPG	4.24	4.16	6.04	4.32	3.73	8.82	5.21
CAPN1	5.65	5.73	5.27	4.08	4.2	7.15	4.99
CAPN10	4.47	4.06	1.83	1.76	2.05	3.89	1.42
CAPN11	4.63	1.87	0.1	0.28	0.33	0.84	0.21
CAPN12	5.33	3.01	2.61	0.98	0.36	4.01	2.33
CAPN13	3.01	1.59	1.6	2.48	1.56	1.02	0.04
CAPN14	1.42	0.78	0.06	0.07	1.15	0.18	0.1
CAPN15	5.07	4.76	1.91	2.02	1.87	4.55	1.52
CAPN2	6	6.91	7.75	6.57	8.01	7.37	5.76
CAPN3	4.7	4.6	4.22	4.58	4	3.37	4.08
CAPN5	3.99	1.87	2.68	0.77	1.63	3.38	2.97
CAPN6	2.01	0.46	0.1	0.1	0.18	0.71	3.64
CAPN7	4.38	4.15	4.15	4.47	5.56	4.86	4.08
CAPN8	4.81	4.34	5.19	1.4	1.11	2.58	2.82
CAPN9	2.07	5.24	0.25	0.54	0.31	1.24	1.17
CAPNS1	7.23	7.42	7.8	7.14	7.6	8.58	7.18
CAPNS2	2.24	0.86	0.79	0.16	1.16	0.4	0.5
CAPRIN1	6.88	8.08	7.84	8.15	8.21	7.49	6.31
CAPRIN2	5.55	7.36	5.95	5.61	5.68	7.67	5.6
CAPS	5.49	4.98	1.89	1	2.94	6.48	1.48
CAPS2	2.84	4.11	0.77	1.4	2.42	2.02	0.93
CAPSL	3.37	1.33	0	0	5.59	0.6	0
CAPZA1	6.6	6.53	6.9	6.72	5.99	8.26	5.24
CAPZA2	5.66	5.68	5.81	6.03	6.96	7.1	5.69
CAPZA3	3.39	0.23	0.19	0.08	0.33	0.58	0.59
CAPZB	6.24	5.26	5.44	5.32	5.99	6.83	5.7
CARD10	4.5	3.67	2.95	1.89	2.1	4.79	2.29
CARD11	5.43	1.62	1.58	1.34	0.52	5.84	2.42
CARD14	4.42	1.54	0.96	0.18	0.26	2.53	0.15
CARD16	3.12	2.54	4.4	5.39	4.85	3.37	5.28
CARD17	2.68	1.6	0.54	0.53	0.88	0	0.08
CARD18	1.66	0.67	0.58	0.06	0.42	0.39	0.06
CARD19	6.48	4.47	2.92	1.94	2.76	6.05	2.55
CARD6	4.41	1.71	1.95	2	1.62	2.41	2.04
CARD8	5.52	5.06	3.46	4.71	3.99	4.01	3.8
CARD9	5.16	2.21	0.99	1.07	0.82	4.61	0.86
CARF	3.82	4.88	3.31	3.68	4.35	4.1	2.65
CARHSP1	5.43	5.95	3.79	3.27	3.27	6.05	2.44
CARM1	6.07	4.83	3.5	3.5	3.9	5.7	3.21
CARMIL1	4.49	4.69	2.98	4.69	3.97	4.17	3.31
CARMIL2	4.69	2.66	1.01	2.38	0.46	2.64	1.64
CARMIL3	3.4	4.26	0.2	1.27	0.19	1	0.29
CARNMT1	4.95	4.26	3.44	3.5	4.56	4.44	2.76
CARNS1	3.09	1.86	0.15	0.04	0.26	0.78	0.15
CARS1	5.26	3.95	3.35	4.1	3.4	5.37	3.49
CARS2	5.34	6.93	3.59	4.78	4.44	5.55	3.77
CARTPT	3.22	1.42	0	0.08	1.37	0.43	0
CASC3	6.64	6.96	4.72	5.62	6.45	6.29	4.31
CASD1	2.95	4.77	2.72	4.35	3.38	3.31	1.95
CASK	5.04	4.46	4.62	5.2	6.69	5.67	5.22
CASKIN1	3.68	2.65	0.1	0.11	0.37	0.73	0.16
CASKIN2	5.57	4.18	1.04	1.49	2.1	3.37	1.24
CASP1	3.4	3.13	5.13	5.35	4.66	4.95	5.57
CASP10	4.23	1.92	2.83	1.94	3.89	2.88	3.19
CASP14	2.07	0.14	1.71	0	0.26	0.18	0.1
CASP2	5.48	6.44	4.89	5.63	5.22	5.46	4.64
CASP3	2.98	3.61	2.85	4.67	4.43	3.95	3.11
CASP4	4.51	5.68	6.56	7.32	6.5	6.29	6.45
CASP5	3.23	1.24	1.3	1.08	0.98	0.8	0.94
CASP6	5.38	4.3	3.4	3.9	4.87	5.36	2.46
CASP7	3.65	3.9	2.13	3.46	3.95	3.79	2.72
CASP8	4.57	3.09	4.26	5.06	6.22	5.18	4.47
CASP8AP2	5	4.82	2.54	5.13	5.67	3.67	2.83
CASP9	4.66	2.86	2.24	1.33	3.47	2.67	2.52
CASQ1	2.16	0.91	0.24	0.38	0.53	0.57	0.12
CASQ2	1.75	0.5	0.23	0.72	0.34	0.3	0.29
CASR	3.5	0.99	0.07	0.04	0.71	0.59	0.03
CASS4	3.1	1.17	0.57	0.37	0.38	1.32	0.66
CAST	7.23	7.78	7.66	7.25	7.88	8.65	7.18
CASTOR1	5.1	1.68	1.46	0.48	1.08	3.34	0.41
CASTOR2	1.45	0.69	0.2	0.58	0.54	2.11	0.33
CASZ1	4.03	5.77	2.09	3.83	4.23	3	1.34
CAT	5.38	5.04	7.14	5.3	6.5	5.61	5.88
CATIP	4.14	2.05	0.16	0.03	1.54	1.84	0.18
CATSPER1	3.44	1.55	2.39	1.36	0.98	2.62	1.27
CATSPER2	5.02	6.37	2.23	5.62	4.88	4.9	4.3
CATSPER3	3.48	2.47	1.39	1.72	1.12	1.51	0.66
CATSPER4	2.7	0.61	0.14	0	0.25	0.1	0.01
CATSPERB	2.43	1.08	1.38	0.42	3.56	0.21	0.6
CATSPERD	4.08	1.01	0.04	0.03	1.41	0.28	0
CATSPERE	2.48	1.79	1.06	1.14	1.16	1.38	0.81
CATSPERG	4.94	4.11	2.63	2.37	2.94	2.89	1.23
CATSPERZ	2.77	1.63	0.14	0.14	0.19	0.88	0
CAV1	6.2	5.02	7.52	5.01	3.26	7.9	3.67
CAV2	4.5	2.56	5.04	2.25	1.51	7.22	2.51
CAV3	2.09	0.84	0.12	0.03	0.18	0.29	0.03
CAVIN1	4.11	3.51	3.11	3.07	1.75	5.75	3.76
CAVIN2	2.54	3.87	0.97	0.74	0.67	1.2	1.19
CAVIN3	3.61	0.93	0.07	0.03	0.07	3.75	0.39
CAVIN4	2.7	1.7	0.38	1.89	1.22	1.18	0.14
CBARP	4.64	2.14	0.76	0.14	0.31	0.66	0.06
CBFA2T2	4.36	8.01	3.03	6.46	4.9	4.5	3.22
CBFA2T3	3.77	4.36	1.97	1.6	0.4	2.15	0.7
CBFB	5.79	7.09	5.5	5.99	6.56	6.53	4.89
CBL	4.1	4.85	4.52	5.51	4.37	4.43	4.48
CBLB	5.16	4.84	5.47	7.04	7.11	6.32	4.75
CBLC	2.8	3.87	2.73	2.06	1.23	5.21	1.64
CBLIF	3.83	1.51	0.57	0.26	0.7	0.44	0.15
CBLL1	5.99	6.93	4.9	6.02	6.2	5.01	4.32
CBLL2	2.58	0.58	0.03	0.28	0.64	0.26	0
CBLN1	3.34	0.62	0.34	1.66	1.57	0.91	0.28
CBLN2	2.44	5.88	0.43	1.16	0.14	0.29	0
CBLN3	3.49	2.39	0.94	0.97	0.74	1.55	1.04
CBLN4	1.03	0.59	0	0.01	0.08	0.12	0.23
CBR1	4.53	4.05	2.71	2.4	4.08	2.95	2.1
CBR3	3.54	3.52	1.57	2.13	5.27	1.6	1.04
CBR4	2.66	4	2.76	4.45	3.77	3.59	2.02
CBS	4.8	4.37	4.82	3.04	3.25	4.43	2.16
CBSL	2.09	2.04	3.19	1.6	3.48	2.41	2.47
CBWD1	4.78	6.14	7.17	8.17	9.39	5.89	6.63
CBWD2	5.56	5.25	7.11	8.23	8.36	4.33	6.71
CBWD3	6.19	7.38	7.7	8.96	9.41	5.65	6.97
CBWD5	7.13	6.92	7.54	8.12	8.8	7.21	7.68
CBWD6	5.87	5.87	6.73	7.3	7.31	5.51	7.71
CBWD7	4.72	6.21	2.08	3.36	3.62	5.35	2.63
CBX1	4.88	6.32	2.8	5.46	6.25	5.81	3.02
CBX2	3.95	3.9	1.08	3.11	3.37	1.24	0.48
CBX3	6.38	6.22	5.93	6.38	6.06	7.16	4.34
CBX4	5.34	5.95	3.08	3.01	4.12	4.39	3.08
CBX5	6.23	7.77	5.18	7.63	7.81	6.72	4.43
CBX6	3.49	2.72	1.19	0.85	0.86	2.77	0.5
CBX7	5.39	3.61	0.9	0.75	1.38	4.51	0.65
CBX8	3.17	4.94	0.59	2.06	2.88	2.95	0.68
CBY1	4.32	5.01	2.88	3.79	5.09	5	2.57
CBY2	3.46	0.85	0	0	0.33	3.49	0.04
CBY3	4.04	2.78	0	0.08	0.28	2.32	0.07
CC2D1A	6.18	6.09	2.82	3.71	4.49	4.89	3.18
CC2D1B	5.36	5.52	2.42	4.94	5.44	4.65	3.79
CC2D2A	5.74	4.15	1.79	2.66	4.51	4.78	1.83
CC2D2B	2.79	1.03	0.62	1.42	0.85	0.59	0.7
CCAR1	6.74	6.63	5.09	6.12	6.07	5.7	4.66
CCAR2	7.95	7.22	4.9	5.93	6.66	6.31	5
CCBE1	2.94	1.71	1.7	0.49	4.14	0.67	1.82
CCDC102A	3.04	1	0.29	0.14	0.56	3.07	0.66
CCDC102B	4.36	4.45	4.32	6.24	4.02	3.72	4.34
CCDC103	3.55	2.37	0.49	0.63	2.01	2.13	0.65
CCDC105	4.08	1.01	0.03	0	0.06	0.6	0
CCDC106	5.13	4	2.25	1.6	2.82	2.24	2.28
CCDC107	6.01	3.88	2.54	3.16	3.71	4.48	2.08
CCDC110	3.26	3.75	0.37	3.22	2.68	2.03	0.37
CCDC112	3.3	4.01	1.96	4.27	5.21	3.3	2.52
CCDC113	3.5	3.09	2.07	1.34	5.59	3.19	1.5
CCDC114	4.25	3.67	0.81	1.01	1.81	1.79	0.26
CCDC115	3.56	2.21	1.51	1.32	0.76	2.15	1.74
CCDC116	4.21	1.77	0.36	0.15	1.08	1.5	0.08
CCDC117	3.35	4.57	4.12	5.64	7.15	3.84	4.23
CCDC12	4.68	4.3	4.52	4.91	5.82	4.41	3.73
CCDC120	4.4	2.8	1.41	1.14	1.69	2.97	1.18
CCDC121	3.26	2.73	1.34	2.52	2.87	1.93	0.64
CCDC122	2.09	2.52	1.24	2.9	3.91	3.86	1.3
CCDC124	5.94	4.91	3.17	4.13	5.79	4.89	3.8
CCDC125	3.28	4.31	3.29	4.01	5.74	3.16	2.51
CCDC126	3.62	2.94	2.45	4	3.83	2.39	2.34
CCDC127	2.28	2.99	1.48	1.99	2.3	1.72	1.14
CCDC13	3.31	3.84	0.49	0.77	2.48	1.87	0.84
CCDC130	6.51	6.02	3.26	3.61	4.23	5.33	2.72
CCDC134	3.89	3	1.6	2.35	1.86	2.79	1.37
CCDC136	4.83	5	0.58	1.42	2.56	2.25	0.77
CCDC137	5.21	5.12	2.73	4.29	4.43	4.27	1.98
CCDC138	2.25	3.05	1.44	3.47	4.58	1.47	2.38
CCDC14	6.31	6.75	3.6	6.91	6.22	5.64	3.46
CCDC141	2.53	1.78	0.61	1.85	0.75	0.82	1.83
CCDC142	4.93	3.84	2.13	2.3	2.39	3.65	1.83
CCDC144A	5.87	2.44	1.06	2.92	5.47	5.49	1.97
CCDC146	4.82	4.92	2.72	3.1	4.71	4.42	2.6
CCDC148	1.4	3.54	0.44	2.55	2.37	1.16	0.7
CCDC149	3.55	4.3	2.29	3.08	3.9	3.94	2.17
CCDC15	2.65	3.72	2.55	3.52	4.15	2.08	1.46
CCDC150	5.7	4.03	2.69	3.36	3.36	2.59	2.43
CCDC151	4.4	3.65	0.42	0.56	2.24	1.24	0.33
CCDC152	2.52	0.64	1.28	0.65	0.69	1.87	0.36
CCDC153	1.77	2.19	0.43	0.86	1.84	1.21	0.2
CCDC154	3.38	3.08	0.5	1.18	0.59	2.42	0.11
CCDC157	3.4	3.79	0.89	0.66	1.8	1.91	0.28
CCDC158	3.06	0.59	0.59	0.23	0.84	2.64	0.21
CCDC159	6.49	6.26	3.71	4.59	6.37	4.52	3.81
CCDC160	1.65	0.21	0.29	0.16	3.44	0.11	0
CCDC163	3.13	1.48	0.46	0.58	0.43	0.96	0.51
CCDC166	2.75	1.04	0	0	0.23	1.41	0.01
CCDC167	4.7	3.76	2.88	4.05	4.94	3.97	4.17
CCDC168	2.14	1.24	0.1	0.53	1.08	0.6	0.14
CCDC169	1.68	0.46	0.04	0.28	0.15	1.25	0
CCDC169-SOHLH2	0.5	0	0	0	0.12	0	0
CCDC17	4.36	2.99	1.06	0.74	0.5	2.73	0.3
CCDC170	5.22	2.41	0.84	2.03	5.07	1.61	2.18
CCDC171	2.46	3.37	0.51	2.85	3.54	1.28	0.85
CCDC172	2.02	0	0	0	0.44	0.32	0
CCDC173	3.4	1.58	0.53	2	4.69	0.51	0.29
CCDC174	4.39	4.14	2.73	4.48	5.67	4.68	3.94
CCDC175	0.9	2.96	0.03	0.36	0.39	0.8	0.08
CCDC177	0.78	0.12	0.01	0.01	0.1	0.03	0.01
CCDC178	2.34	2.28	0.28	1.31	0.29	0	0
CCDC179	1.3	0	0.23	0	0	0	0
CCDC18	5.78	4.78	3.08	4.3	3.63	4.94	2.67
CCDC180	5.24	4.3	0.88	2.76	4.26	1.8	2.36
CCDC181	3.05	1.43	0.28	0.39	1.83	1.04	0.16
CCDC182	2.94	0.44	0	0	0.18	0.5	0
CCDC183	4.72	3.98	0.88	1.24	2.73	1.79	2.13
CCDC184	2.53	0.9	0.01	0	0.14	0.53	0.03
CCDC185	3.93	1.41	0.04	0	0.41	1.42	0
CCDC186	4.26	4.14	4.22	4.19	5.58	4.68	3.86
CCDC188	2.7	1.11	0.07	0.31	0.1	1.8	0.08
CCDC189	4.95	5.13	1.12	1.83	3.2	2.56	0.78
CCDC190	3.11	0.86	0	0.1	0.86	5.34	0.03
CCDC191	3.87	4.24	1.73	3.31	4.57	3.81	1.86
CCDC192	0.4	0	0	0	0	0	0
CCDC194	2.68	0	0.19	0.08	1.01	0.62	0.07
CCDC195	0	0	0	0	0	0	0
CCDC196	0.18	0	0	0	0	0.14	0
CCDC197	3	0.68	0	0	0.14	0.07	0
CCDC198	3.73	2.01	2.41	0.77	0.97	3.56	2.31
CCDC201	0.2	0.06	0	0	0.01	0	0
CCDC22	4.29	2.39	1.86	1.93	3.16	3.55	2.28
CCDC24	4.82	4.48	1.62	1.53	1.92	4.63	1.33
CCDC25	4.63	5.04	3.74	5.37	7.25	4.28	4.02
CCDC27	3	0.5	0.03	0.01	0.21	0.29	0.01
CCDC28A	3.75	2.96	2.4	3.08	5.32	3.38	3.23
CCDC28B	4.23	3.97	0.33	1.99	1.99	2.3	0.48
CCDC3	2.67	1.47	0.41	0.28	0.16	1.66	0.77
CCDC30	3.85	4.27	0.77	3.07	3.44	2.12	0.81
CCDC32	4.46	4.22	3.56	3.51	2.62	4.39	2.85
CCDC33	4.44	4.17	0.51	0.85	0.41	3.7	0.06
CCDC34	2.94	6	2.41	4.87	5.34	3.07	2.01
CCDC38	3.72	1.96	0.8	1.54	1.82	0.43	0.42
CCDC40	5.58	5.79	1.91	5.17	6.03	3.84	2.12
CCDC42	2.51	0.4	0.04	0.08	0.04	0.37	0.03
CCDC43	3.78	4.92	2.88	4.4	4.82	4.43	2.9
CCDC47	6.06	6.43	6.05	7.22	7.25	6.14	5.67
CCDC50	4.68	4.96	5.26	5.9	6.54	7.17	5.29
CCDC51	3.02	3.11	1.23	1.35	2.22	3.01	1.52
CCDC54	2.68	0.73	0.08	0.06	0.92	0.43	0.12
CCDC57	5.62	5.9	3.31	3.96	4.17	5.44	2.63
CCDC58	3.84	4.78	5.11	6.82	7.46	5.19	4.58
CCDC59	5.01	6.63	4.31	6.33	6.47	4.89	4.27
CCDC6	4.44	3.51	3.74	3.2	4.03	4.97	3.31
CCDC60	3.16	1.58	0.04	0.11	2.82	0.21	0.23
CCDC61	4.46	3.17	1.43	1.18	1.5	3.02	1.7
CCDC62	2.66	1.52	0.18	0.64	0.59	0.64	0.14
CCDC63	3.16	1.22	0.06	0	0.07	0.16	0.07
CCDC65	4.37	3.26	1.32	1.08	3	2.14	0.6
CCDC66	4.96	5.28	4.15	5.16	6.68	3.94	3.72
CCDC68	1.54	0.83	2.01	0.16	1.14	3.17	1.99
CCDC69	6.85	1.3	2.07	2.34	2.48	2.78	2.58
CCDC7	4.5	4.68	3.29	3.84	3.95	5.01	2.63
CCDC70	1.95	1.26	0.14	0.38	0.28	0.12	0.16
CCDC71	4.81	4.45	2.22	2.07	3.36	4.07	2.61
CCDC71L	3.44	1.76	0.48	0.16	0.1	2.49	0.19
CCDC73	1.95	2.02	0.56	1.91	1.94	0.97	0.62
CCDC74A	5.76	5.78	1.65	2.22	3.52	3.65	1.68
CCDC74B	4.92	4.37	0.45	0.33	1.62	2.62	0.94
CCDC77	5.15	4.32	2.88	4.23	2.74	3.47	2.85
CCDC78	4.31	5.86	1.64	1.74	2.77	3.6	0.89
CCDC8	4.16	1.46	0.58	1.63	0.54	1.23	1.65
CCDC80	3.98	4.07	4.71	5.92	2.11	4.33	7.28
CCDC81	2.5	1.99	0.7	2.26	1.11	0.53	0.7
CCDC82	4.34	5.34	5.02	6.25	6.69	5.01	5.4
CCDC83	0.96	0.19	0.15	0.14	1.02	0.28	0
CCDC85A	2.25	2.16	0.04	0.23	1.38	1.68	0
CCDC85B	3.56	1.63	1.06	0.2	0.36	3.63	0.36
CCDC85C	5.79	4.06	2.11	1.52	2.16	3.09	1.46
CCDC86	3.62	2.82	1.32	1.53	1.77	2.66	1.54
CCDC87	3.07	2.8	0.19	0.58	0.76	0.63	0.15
CCDC88A	6.52	6.27	5.11	7.32	4.82	6.01	4.54
CCDC88B	4.46	3.33	2.38	1.65	1.33	4.19	2.28
CCDC88C	4.96	5.73	3.51	4.82	4.2	3.24	3.48
CCDC89	3.2	1.13	0.23	0.68	0.58	0.18	0.3
CCDC9	6	3.88	3.08	3.23	3.6	4.7	3.28
CCDC90B	5.22	5.37	4.62	5.46	5.35	5.57	4.33
CCDC91	4.32	4.82	5.08	5.03	6.28	5.36	3.63
CCDC92	4.41	3.74	2.4	2.56	2.63	4.66	1.95
CCDC93	5.36	6.24	4.98	5.2	6.63	5.23	4.26
CCDC96	3.36	1.64	0.25	0.16	1.8	1.75	0.12
CCDC97	4.69	4.42	2.01	1.37	1.42	4.67	1.81
CCDC9B	3.43	1.38	4.9	1.31	0.45	5.71	1.79
CCER1	2.85	1.19	0.12	0.03	0.56	0.49	0
CCER2	2.33	1.45	0.11	0.26	0.48	0.83	0.3
CCHCR1	6.47	6.38	2.5	3.97	4.85	4.2	3.5
CCIN	4.23	1.95	0.1	0.21	0.64	1.06	0.19
CCK	2.38	1.28	0.29	0	0.74	0.56	0
CCKAR	3.67	0.9	0.16	0.11	0.7	0.23	0.06
CCKBR	4.31	3.99	0.2	0.29	0.56	1.66	0
CCL1	2.27	1.28	0.2	0.26	0.16	0	0
CCL11	1.05	0.12	1.88	0.41	0.51	0.71	2.82
CCL13	1.53	0.66	2.97	0.41	0.7	2.72	4.22
CCL14	3.07	0.73	6.09	3.17	1.46	1.79	4.18
CCL15	1.03	0.24	1.49	0	1.6	0.99	0.89
CCL15-CCL14	0	0	2.65	0	1.26	0.37	1.26
CCL16	1.46	0.51	2.86	0.1	0.16	1.05	1.39
CCL17	1.1	0	3.12	0.29	0.7	2.11	0.92
CCL18	1.03	0.72	2.91	1.77	1.61	2.81	4.09
CCL19	3.65	2.08	1.59	3.99	0.8	1.79	4.21
CCL2	2.89	3.87	4.93	5.31	5.19	4.63	6.36
CCL20	1.13	0.38	4.42	0.63	1.1	2.91	2.1
CCL21	3.94	1.64	3.25	5.03	0.46	2.35	4.14
CCL22	3.8	0	1.54	0.31	0.26	0.62	0.77
CCL23	1.24	1.1	1.26	0	0.33	0.5	0.76
CCL24	2.5	1.9	0.78	1.23	0.28	5.34	1.12
CCL25	1.1	0.34	0	0.11	0.08	0	0
CCL26	2.39	0.39	0.99	1.58	0.39	0	2
CCL27	3.08	1.64	0.18	0.24	0.14	1.15	0
CCL28	3.88	0.62	1.06	0.26	3.95	2.22	0.32
CCL3	2.41	2.8	3.49	4.09	2.91	2.51	3.86
CCL3L1	1.66	3.63	3.05	2.49	1.9	0.65	0.98
CCL3L3	1.78	0	1.29	2.61	1.3	0	0.62
CCL4	2.62	2.51	3.46	5.02	3.5	2.66	4.64
CCL4L1	0.14	1.46	3.11	4.46	2.99	1.01	2.86
CCL4L2	3.82	2.57	0.44	2.85	2.33	1.47	0.52
CCL5	1.87	2.23	2.13	3.73	2.13	2.34	3.11
CCL7	2.58	1.37	0.75	1.14	0.45	0.41	1.7
CCL8	2.45	0.63	0.64	1.19	0.81	1.54	3.41
CCM2	6.37	5.56	5.01	4.89	2.85	6	4.19
CCM2L	2.95	1.89	0.25	0.34	0.06	0.8	0.29
CCN1	4.97	3.45	3.98	4.77	2.98	4.8	4.34
CCN2	4.33	4.71	3.6	4.18	2.11	5.03	4.02
CCN3	5.46	2.3	0.56	1.14	2.68	3.57	0.59
CCN4	3.67	2.78	1.86	2.15	0.54	3.54	2.2
CCN5	3.4	1.36	0.11	0.04	0.21	1.14	0.36
CCN6	3.71	1.49	2.4	0.56	1.67	0.49	0.63
CCNA1	2.22	3.79	0.16	0.69	0.29	0.57	0.01
CCNA2	5.46	4.38	2.98	4.26	4.99	4.48	2.92
CCNB1	5.76	6.26	5.01	5.37	5.59	5.92	4.16
CCNB1IP1	4.47	5.13	3.52	4.89	2.81	4.43	3.31
CCNB2	5.08	4.99	2.94	5.33	3.73	4.61	3.24
CCNB3	3.38	1.57	0.99	0.23	0.9	0.57	0.33
CCNC	5.39	5.17	4.11	5.23	5.68	5.4	3.35
CCND1	5.88	3.96	5.74	2.14	2.3	7.43	5.07
CCND2	6.4	0.92	0.16	0.69	0.14	2.05	1.46
CCND3	6.6	5.41	3.29	2.72	3.61	5.24	2.9
CCNDBP1	4.75	4.93	4	4.26	4.04	5.44	3.98
CCNE1	5.81	5.52	2.15	2.84	2.9	2.93	1.12
CCNE2	3.79	6.7	2.24	4.76	5.39	3	1.71
CCNF	4.63	4.72	1.28	2.4	1.79	3.85	1.29
CCNG1	6.03	6.54	4.41	4.78	5.35	5.46	4.82
CCNG2	3.92	3.66	5.72	5.19	5.66	4.88	3.43
CCNH	6.29	6.78	4.73	5.51	6.5	5.26	4.2
CCNI	7.12	6.41	6.32	5.86	6.11	8.87	5.48
CCNI2	3.29	3.09	1.65	1.04	1.31	2.06	1.78
CCNJ	2.59	2.82	1.18	2.04	1.32	1.94	1.13
CCNJL	4.03	1.91	2.31	3.61	0.82	3	0.7
CCNK	5.67	5.86	4.41	5.31	4.93	4.82	4.37
CCNL1	6.71	7.12	5.66	7.18	6.89	7.8	5.77
CCNL2	7.38	6.75	5.3	4.75	5.32	7.13	5.33
CCNO	4.3	5.66	0.34	0.04	4.11	1.94	0.39
CCNP	3.84	2.02	0.04	0	0.06	1.5	0.19
CCNQ	5.53	2.82	2.29	2.05	2.8	4.71	1.94
CCNT1	5.35	6.02	3.87	4.72	4.62	5.19	3.34
CCNT2	5.22	5.95	4.1	6.21	4.16	4.47	3.82
CCNY	6.07	5.94	4.04	5.39	4.5	6.71	4.18
CCNYL1	2.81	2.61	3.89	2.81	3.23	3.98	2.38
CCP110	3.71	6.61	2.23	5.94	5.93	3.79	2.57
CCPG1	4.1	5.79	4.58	4.85	4.57	5.83	4.07
CCR1	2.53	1.48	1.48	1.42	0.71	2.12	1.64
CCR10	3.3	2.49	0.06	0.03	0.18	1.42	0
CCR2	1.79	0.64	1.68	0.68	1.14	2.05	2.18
CCR3	3.28	1.3	0.38	0.26	0.75	2.04	0.2
CCR4	2.14	0.49	0.98	0.75	0.36	0.48	0.75
CCR5	2.02	0.55	1.06	1.71	1.01	1.88	1.88
CCR6	2.93	0.53	0.57	0.46	0	0.23	0.69
CCR7	3.19	2.01	1.19	1.41	0.52	1.23	1.06
CCR8	2.7	0.86	0.67	0.59	0.58	1.1	0.8
CCR9	3.36	0.6	0.3	0.14	0.63	0.96	0.18
CCRL2	4.24	2.88	1.59	1.98	1.21	2.04	1.39
CCS	4.67	4.14	3.13	2.99	2.69	3.86	2.44
CCSAP	2.31	2.33	0.7	1.67	1.52	1.51	0.73
CCSER1	3.38	4.82	3.06	3.84	4.37	1.82	2.93
CCSER2	5.62	6.17	3.5	5.83	4.82	4.93	3.49
CCT2	7.12	7.33	6.5	7.21	7.78	7.05	6.8
CCT3	7.6	7.08	6.31	6.21	6.9	7.44	5.85
CCT4	5.26	5.45	5.1	5.57	6.18	6.81	5.1
CCT5	8.36	8.04	7.43	7.8	8.78	7.12	7.18
CCT6A	6.33	6.39	6.16	6.53	6.69	6.88	6.49
CCT6B	1.86	0.92	1.33	1.06	2.68	0.6	0.51
CCT7	7.94	7.67	6.75	7.14	7.12	8.02	6.27
CCT8	5.91	6.47	6.44	7.19	7.73	6.48	5.84
CCT8L2	2.82	0.94	0	0.06	0.71	0.59	0.04
CCZ1	5.67	5.19	5.88	6.62	5.84	6.21	3.89
CCZ1B	7.25	7.54	7.46	8.11	8.28	7.27	6.41
CD101	3.86	1.29	1.02	2.28	1.57	1.37	1.23
CD109	1.99	1.61	5.22	2.4	3.4	5.02	3.02
CD14	3.87	4.25	4.16	2.63	1.91	5.7	4.36
CD151	5.5	4.75	5.32	3.48	3.77	7.56	4.59
CD160	4.47	3.54	0.59	1.54	1.94	1.73	1.29
CD163	5.23	3.39	5.66	4.52	4.78	5.5	5.89
CD163L1	4.06	2.83	3.71	2.93	2.38	3.15	2.74
CD164	7.88	7.57	6.35	6.94	7.6	6.96	6.07
