Gene	Sample_14_SS_18_2698	Sample_12_SS_18_4268	Sample_26_SB_20_5744	X27_sb_19_5484	sb_19_6002	Sample_35_SB_18_6513	CL0191_T1R_T	Sample_2_WS_18_051587	Sample_41_CN20_33_A1_B1	Sample_39_S18_11654	Sample_28_SB_20_399	Sample_48_ASP19_05374	Sample_49_NC_20_182_A1	X16_sb_19_5365	Sample_45_RA_023_11	Sample_39_SF_20_216_A1	Sample_47_WS_20_4104	Sample_41_RS_20_1704	Sample_25_SB_20_5907	Sample_23_SB_20_788	Sample_34_SB_18_7364	Sample_10_SS_18_5516	Sample_11_SS_18_5261	Sample_1_WS20_3053
FTL	2689.12	2224.02	4085.66	124.02	1222.81	1540.49	2200.54	2021.33	176.102	1804.85	6713.38	1702.04	2881.09	111.544	1812.99	583.213	1281.61	2377.42	997.416	7499.76	1202.58	2446.46	1404.28	2077.02
FTMT	0	0	0	109.216	0	0.129824	0	0.329608	30.6574	0.48239	0	0	0	98.1904	0	2.06609	0.519382	0.95541	0	0	0	0	0	0
FTO	2.22543	1.75218	1.60524	1.46391	0.954266	1.15722	2.18668	1.43645	1.60535	1.27198	1.12307	1.56741	1.11722	2.21543	1.52812	4.94482	2.41515	1.20757	1.03828	1.45649	1.17594	1.58203	1.36094	0.669826
FTSJ1	16.2197	17.3684	17.9646	20.6921	12.1833	12.0343	15.8391	17.3796	33.6935	20.2793	23.381	13.5443	10.6893	17.1853	7.56581	13.6931	17.3337	15.9774	17.6295	16.2842	12.948	9.85902	13.5113	10.9557
FTSJ3	37.8624	40.6563	37.4574	89.0962	36.3399	84.8204	35.2511	56.3226	58.2196	30.6021	35.026	66.9403	54.4293	81.4035	17.8982	61.1918	67.3999	66.206	45.4095	40.1932	41.5296	73.002	52.8181	51.0077
FUBP1	27.0726	44.3398	25.5349	12.6338	26.8293	17.3396	35.2341	44.4879	15.9356	19.3503	10.5595	64.8127	26.3578	14.0827	29.17	131.586	124.302	35.5482	26.3138	20.4884	26.771	20.8507	14.4941	21.0971
FUBP3	5.99931	11.5353	5.64643	9.90382	4.33766	10.7374	7.01911	8.6427	7.05802	5.11213	4.3781	12.8929	2.6715	9.63698	3.82016	12.5949	25.1688	4.26089	3.91163	4.87571	6.54114	3.29968	3.8735	3.02473
FUCA1	6.60724	19.6093	8.4651	11.2424	4.57527	5.84702	9.81563	4.99555	7.26986	5.49052	10.9359	24.0351	7.80178	8.16645	3.6355	3.72766	6.80086	2.18563	3.02861	37.7496	1.86644	4.40599	5.78327	11.6061
FUCA2	5.0827	19.5758	6.19067	9.12359	5.0899	17.1399	12.0234	7.77664	3.31866	6.40373	6.21618	6.00568	3.15086	7.05138	3.07495	4.70418	4.96354	6.30738	3.41212	7.31782	2.87216	4.62965	4.30858	12.7749
FUK	4.39017	2.89287	2.77005	25.624	1.42036	1.68293	3.3307	2.64373	5.47686	2.0653	4.01295	0.80515	2.21672	20.0225	1.4856	0.733893	5.81341	3.69219	1.76839	3.13255	2.85351	7.61294	4.20995	1.70129
FUNDC1	2.24251	2.75537	1.34562	3.12318	3.09749	1.73941	3.14165	1.68581	9.58178	1.49692	1.58029	2.62258	1.24354	2.77274	1.25174	5.01576	3.3788	1.10839	2.6532	1.9233	1.50631	0.94247	1.06581	2.83924
FUNDC2	8.45588	6.18136	6.06011	3.6958	4.50885	7.53838	6.02527	7.28449	4.96756	8.9448	7.82401	7.64799	11.7159	4.0278	5.80746	9.15465	6.4561	8.44655	9.38181	6.30671	8.10566	16.0792	7.64857	23.1715
FUOM	7.66077	6.3816	3.19436	27.0704	1.59592	2.50019	2.03656	1.15609	3.54182	1.57636	2.76645	5.72267	2.64894	21.6944	1.15775	12.1186	3.81561	10.3554	2.09151	4.68478	0.192036	3.57553	2.14289	2.25286
FURIN	23.2813	15.7496	18.7348	44.8215	8.61787	43.4276	27.8695	11.3273	4.75669	6.97541	20.4503	7.72695	8.8196	39.0054	11.0186	7.04219	6.89997	3.62673	6.84993	19.718	11.1159	44.8013	13.4194	7.75681
FUS	374.589	390.633	329.403	42.1186	389.281	247.39	416.006	313.038	181.548	261.623	305.732	635.478	325.539	39.1119	121.168	698.094	776.984	342.413	308.452	206.156	372.654	239.374	181.499	371.609
FUT1	10.4602	6.43878	5.11218	38.2243	4.21802	1.78042	8.80519	7.33801	13.0015	5.24896	3.16042	2.45788	2.94647	34.5984	2.99718	3.64717	4.89512	2.32436	2.48993	3.09837	5.18202	5.00795	5.27827	3.52773
FUT10	1.10506	0.851373	0.467948	3.02358	1.65151	0.573599	0.617017	0.739146	1.96114	0.747151	0.209158	0.322197	0.24368	3.69422	0.738118	0.448466	0.600132	0.433822	0.311172	0.360402	0.293989	0.211814	0.509777	1.43648
FUT11	12.6272	7.00032	11.0361	50.0071	2.96268	6.19649	8.50488	5.21331	6.69817	2.94845	5.39257	7.68073	8.51699	41.1709	9.9247	3.52059	11.3197	5.31943	5.02664	7.79597	5.66588	7.53496	10.651	6.84438
FUT2	11.3543	8.25854	3.71247	21.1289	1.85821	3.43113	2.94897	14.6846	30.6021	3.34434	5.81688	5.18009	2.5849	19.2323	2.49621	9.89716	8.41911	8.32762	1.60356	3.12162	6.54378	7.29117	21.2512	2.46198
FUT3	3.09374	2.52908	7.13657	34.4426	1.41834	0.338876	3.39806	3.21374	17.9544	0.102286	0.566151	0.363459	5.01617	29.0003	0.0502081	3.08717	3.62685	1.74953	0.208129	0.21921	1.57263	1.03243	21.4846	1.17865
FUT4	4.37938	3.78167	6.92339	56.8299	2.79352	2.22913	2.5463	3.96884	2.73593	3.98897	4.65372	1.6611	1.53467	33.4889	0.89719	1.42486	1.46111	1.64529	1.12892	4.06332	6.64065	4.67461	3.31424	3.17624
FUT5	7.04708	0.677441	0.917319	55.6599	3.06694	0.285244	1.72498	1.1163	13.7688	1.00208	0.744803	0.306676	0.429725	44.7851	0.111318	3.43206	2.08809	0.339735	0.709849	0.213975	2.71149	0.65321	1.06169	2.65958
FUT6	7.34158	2.90518	1.10063	31.2049	0.661528	2.21246	0.91459	6.04521	12.3001	0.102927	0.428865	0.557158	2.241	25.9477	0.213713	3.6044	1.76691	0.898474	0.450621	0.253118	1.06782	15.0988	28.6432	0.565227
FUT7	7.7878	3.21314	2.81032	73.5503	0.843041	5.88991	4.72883	2.51906	41.6504	4.4518	3.02	7.64528	14.2774	65.2943	0.594663	6.55432	3.23944	1.75419	1.07666	13.2987	1.46312	1.19722	2.19716	0.904968
FUT8	0.762144	0.839212	0.762914	1.02393	1.66971	0.496083	0.992763	1.15033	0.76903	0.794207	0.454257	1.01538	1.13866	1.61524	0.237791	1.21059	1.07844	0.665946	0.280149	0.807869	0.341498	0.361429	0.63859	0.60436
FUT9	0.200594	0.000730609	0.0348918	0.666805	0.0117964	0.185986	0.0690933	0.00193509	0.233164	0.290387	0.149612	0.0134826	0.000362485	0.895336	0.00375599	0.0504426	0.600169	0.000233713	0.050216	0.00542693	0.102855	0	0.016429	0.0272097
FUZ	30.7992	26.1485	16.5122	28.5823	38.1857	14.0611	24.3373	26.4322	66.9182	14.6651	22.6547	11.6639	15.3344	25.0198	13.331	30.5327	22.3108	2.52342	22.885	10.4337	38.4749	16.115	39.4542	18.5568
FXN	0.632723	1.54478	0.984092	2.4157	0.435855	1.50855	0.313849	1.54264	3.97735	1.04083	0.635906	1.7082	0.682161	2.35836	0.556693	1.01292	0.374547	2.02928	0.880186	1.44287	0.473995	1.06366	0.351566	0.202311
FXR1	17.0777	35.8843	7.0341	3.73346	8.68384	5.42902	17.8878	14.6062	9.45184	12.5641	19.2524	19.4498	12.3178	3.18755	23.394	33.1983	48.2165	19.5114	4.48507	7.7484	34.8609	6.84183	11.6057	23.8527
FXR2	6.8902	9.67691	8.39411	20.7094	8.03861	10.2821	17.2328	11.2386	9.99597	7.14328	6.46602	11.4923	6.44291	18.7749	10.3636	16.3699	7.72669	9.19158	25.5055	6.61786	7.3108	15.7799	12.6125	7.25878
FXYD1	7.93442	0.216979	1.62719	39.0364	0.718461	2.64881	0.59446	0.583671	16.7041	1.63334	0.398846	0.465906	0.382671	30.3083	0.875817	2.68727	1.12582	0.560333	0.0377668	5.51036	0.192974	2.06078	1.42219	0.187422
FXYD2	1.61611	0.3571	0.758286	6.87388	0.483473	7.62142	0.480121	0.792225	10.6154	0.233773	1.13383	0.818753	1.89837	5.24553	1.46569	3.07647	1.4986	0.12618	0.366884	0.702753	3.49693	0.554909	0.126693	0.125686
FXYD3	3.49899	2.0377	5.83048	19.017	5.29322	2.0672	8.40864	4.63094	7.15469	0.921597	2.74799	0.493267	0.162786	18.6447	0.284084	1.12326	1.09987	6.01197	1.18883	14.6926	1.14018	5.8754	23.9937	20.3991
FXYD4	0.619586	0.366647	0.251633	20.4705	0	1.84068	0.12504	0.0462919	28.2523	0.232284	0.458141	0.280598	0.11562	16.8566	0.0119802	4.34825	0.422868	0.0298184	0.0207677	0.0692399	0.117905	0	0.0245158	0.0723242
FXYD5	7.9832	11.7709	37.1794	17.5216	7.89134	30.4414	26.4453	9.68364	13.8004	4.99657	9.88846	38.6437	26.1941	16.3048	26.1793	5.54136	21.9779	34.7882	2.71253	45.7479	2.00869	4.17115	5.37392	11.8776
FXYD6	4.12094	3.29442	3.20372	6.38604	5.58611	4.53383	3.91769	9.28626	7.35642	4.02461	3.15361	2.47172	4.00022	4.63344	3.66661	6.91951	4.5091	0.427454	1.46025	1.95683	8.77138	1.09647	2.15274	1.99867
FXYD7	0.260321	0.0950168	0.177599	13.815	0.159807	0.412273	0.432442	0.0764597	6.87152	0.687847	0.0724505	0.53629	0.453412	11.78	0.0322255	1.19563	0.420265	0.595229	0.0543928	0.400065	0.0500768	0.203144	0.192628	0.0383969
FYCO1	21.6595	41.2775	21.4615	15.1318	3.30718	16.116	4.73223	44.1991	33.1499	13.1494	13.5313	19.1758	24.5709	10.9849	8.52076	10.5773	16.8799	58.4093	29.5035	39.2396	14.9239	21.4707	54.1123	13.8264
FYN	1.44292	2.49948	1.94141	2.19848	4.73909	0.565279	5.44094	2.76488	0.907715	1.61653	1.46415	1.69055	2.48126	2.20027	1.71117	3.65238	4.35257	0.420978	0.741233	1.4398	1.67446	0.349534	0.99866	7.9021
FYTTD1	5.2403	14.4023	4.14425	5.11779	7.5922	2.6176	8.5157	7.67824	5.22827	4.10413	9.25222	9.02959	4.89098	4.03225	3.14649	8.12696	16.6318	4.94709	2.81874	4.5855	3.46221	1.94108	2.10862	17.896
FZD1	9.90766	6.05774	15.3869	69.0501	11.5201	7.11272	18.1954	8.72061	3.14303	4.0931	2.571	1.70451	1.47833	76.1433	5.15268	2.6374	5.21108	8.17242	4.61541	4.1912	5.88978	31.1113	5.70456	5.2931
FZD10	1.81041	0.515499	1.04792	88.5576	10.4377	0.98846	1.09856	2.00095	6.3696	0.332218	0.181238	0.200659	0	75.7578	0.0799608	1.90368	2.02607	0.805555	6.09397	0.594172	0.775705	1.33308	2.13885	0.019395
FZD2	48.878	19.357	8.62748	225.813	36.9523	7.23639	22.8081	22.6691	11.0968	14.0537	10.9027	2.30476	1.27628	176.612	8.39624	3.67058	6.72926	6.80398	0.361564	8.92872	25.2092	18.4806	7.05611	11.0009
FZD3	5.05213	3.99275	2.16085	3.76009	2.86454	1.87213	4.06024	8.09045	2.34279	1.70835	1.6016	1.25117	0.600129	4.82252	3.6121	5.69275	2.70778	1.48266	0.713903	1.25529	1.31408	0.407327	1.67064	1.75864
FZD4	9.35308	26.2886	57.4038	25.449	14.2363	14.4223	18.5298	23.9723	30.1654	9.22991	19.9147	13.8273	3.02846	19.5011	5.55617	12.2636	16.3406	9.14095	4.35246	47.767	6.05129	5.51498	22.0724	6.3591
FZD5	3.09229	3.26691	1.9242	74.0434	3.84407	5.5637	2.77571	3.39425	3.14798	1.20229	9.26522	0.424698	2.86993	68.077	12.5182	0.969175	2.86449	2.71457	0.754388	3.08279	13.6895	9.82566	2.75957	4.25396
FZD6	10.0504	29.3819	6.66222	10.1201	8.92692	7.61727	12.2434	18.0773	5.49239	2.24203	7.01037	3.28832	6.8913	11.2356	2.72298	10.8651	7.44887	8.86489	6.59724	5.51318	5.00183	5.63994	14.7698	21.3247
FZD7	23.197	5.19681	13.2515	120.228	11.1559	10.5886	6.25765	8.03959	14.9185	11.0114	3.8268	9.28224	0.459415	96.8343	0.937497	3.08005	10.5085	42.5049	1.42727	20.687	11.7029	1.90948	1.12324	10.1719
FZD8	18.1155	13.3835	22.2363	151.722	10.1073	7.36428	14.9595	7.65651	3.60683	4.2838	4.07316	1.59863	2.37019	122.67	3.349	0.295944	18.0861	26.2261	10.8571	8.23955	6.83914	3.09981	23.2296	26.4305
FZD9	9.23594	8.78349	6.32991	131.365	4.24927	0.502033	12.6776	10.337	4.4707	0.621807	3.58139	0.306172	2.15881	139.275	1.13048	3.02593	1.40084	7.09084	0.236274	0.451792	0	1.74821	4.20014	9.0481
FZR1	26.1496	5.52275	6.68569	12.9573	8.50619	4.92705	14.1421	10.6281	4.15459	7.49197	5.37798	1.85288	6.8953	11.9078	2.49853	4.41998	5.88524	11.9776	6.54797	3.96849	18.9576	10.0328	13.0418	6.66169
G0S2	4.97003	0.617119	7.49299	100.527	0.759453	3.22173	0.692245	1.14614	4.71927	4.15707	1.95961	1.49224	22.59	87.0667	6.69329	1.31473	0.36872	3.03335	0.838353	5.3945	6.6825	20.2587	3.68152	1.51089
G2E3	6.40089	7.11077	2.85288	5.78189	10.2354	5.97704	6.52172	8.38759	2.53794	4.34918	3.11346	4.6661	2.41818	7.15626	4.08147	13.2327	11.4886	3.88614	3.39124	2.22318	6.1129	2.26716	4.02594	6.74519
G3BP1	29.9954	22.8775	17.554	7.18061	17.7141	19.0138	34.59	18.1398	8.22256	16.9913	12.5463	24.9537	21.4062	8.19651	15.7641	23.306	20.47	37.8137	20.3549	21.8361	24.7614	23.7107	16.4415	19.7028
G3BP2	4.31094	5.58056	4.59965	3.41321	3.49617	8.18537	6.49499	10.6202	2.83809	4.42392	5.35394	7.40998	9.54371	3.95498	7.045	10.8098	9.28439	10.4536	9.53105	6.20376	3.4252	11.3447	7.11044	5.982
G6PC	32.6591	0.198365	0.0345385	21.9177	0.175593	0.148461	0.0133378	0.140181	28.584	0.426377	0.0218352	0.177634	0.018705	19.1809	0.134181	8.01662	0.63623	0.0742159	0.0801186	0.0495458	0.0616263	5.847	0.0808491	0.109694
G6PC2	1.053	1.42838	0.239902	24.7328	0.625788	0.085595	0.641231	0.385815	15.2769	2.82787	0.60191	0.580116	0.0495578	26.9172	0.0171168	1.31956	3.07903	0.0461535	2.10115	0.0324604	0	0	0.162001	0.869456
G6PC3	61.4969	87.8744	118.482	38.8761	62.9328	150.317	159.244	155.824	94.688	102.68	130.817	70.8711	47.9483	34.9578	61.5313	45.145	55.727	62.7816	29.8185	109.527	47.8767	67.7835	33.0975	259.353
G6PD	12.8669	12.686	15.249	24.4929	6.61237	17.6062	13.9332	14.9172	29.5868	18.0016	25.1399	9.08701	23.7855	21.9706	5.27879	11.8376	7.06666	14.1709	31.4454	14.4451	9.60378	20.3829	14.7112	26.2912
GAA	21.8399	10.4493	47.8749	38.8575	13.0403	34.9685	13.5354	23.8394	12.8703	14.2279	33.527	4.44406	23.564	32.1871	17.3682	21.9455	13.9414	27.6539	7.22456	30.8131	30.6475	18.6977	15.9861	32.7547
GAB1	1.8876	3.57549	2.14317	3.53368	2.82681	2.56432	3.36836	1.70242	1.68467	1.21912	1.01451	1.60404	0.401834	4.09248	3.99517	4.08416	1.99608	1.19444	1.05967	2.52163	0.581533	0.483747	0.918707	0.921202
GAB2	2.80748	1.59698	2.69099	2.58448	1.31977	0.834929	2.03125	3.41315	2.43671	0.442408	1.44375	4.6914	1.22156	2.24914	0.945785	4.1769	3.57853	0.590516	2.84079	1.42686	1.98264	1.23428	1.17985	0.844746
GAB3	1.13295	0.353091	0.696079	3.11922	0.433342	0.286171	0.725509	0.220452	1.64957	0.877252	0.97838	0.687745	0.735855	3.40853	0.188593	0.384563	0.501079	0.143835	0.0900321	1.05511	0.174731	0.877075	0.467334	1.26806
GAB4	0.00405372	0.0523068	0.0318979	7.16863	0	0.152325	0.0144919	0.00312966	1.90006	0.00196301	0.017052	0.190839	0.0242319	6.72241	0.140121	0.143766	0.0613233	2.04752	0.00140405	0.00292569	0.00358707	0.00248744	0.00953031	0.000458404
GABARAP	68.0972	62.0646	142.451	37.9222	161.97	106.597	241.402	71.3805	22.5106	58.0697	113.58	93.1852	127.619	40.0387	131.426	108.468	57.8564	74.3245	105.369	163.098	67.5099	103.725	112.253	152.044
GABARAPL1	7.06289	7.45584	10.5982	22.0036	3.36824	15.4094	13.1472	14.0456	11.0252	4.17999	20.0323	5.64455	14.2481	19.5573	12.1256	17.9211	19.7081	4.63659	34.781	11.7861	4.19507	13.1231	14.7733	4.77323
GABARAPL2	8.38425	4.88741	16.1665	11.0853	7.29464	8.81907	15.8265	8.10935	2.2945	10.3146	14.3346	6.85598	15.3232	11.779	15.658	4.95878	7.38135	8.37817	4.88926	12.3167	6.70032	7.94549	9.42428	12.9211
GABBR1	7.17887	12.9752	5.4883	16.1192	9.33131	9.51967	8.13728	7.60695	8.91146	5.33238	6.59853	8.79119	3.05921	18.326	5.94068	6.93058	7.89184	7.95403	4.85129	9.15204	1.08079	17.086	7.90433	6.24617
GABBR2	0.265797	0.00904014	0.00371254	2.0219	0.0738376	0.0495155	0.261348	0.0711546	1.62064	0.620433	0.151608	0.033353	0.00206216	2.53661	0.00249288	4.30653	0.525215	0.0179124	0.025967	0.00168839	0.0787282	0.122904	0.0155317	0.040966
GABPA	8.03414	5.34541	4.20557	7.8823	5.19532	1.78785	8.65346	7.86866	3.9245	4.13091	3.19369	8.09289	3.11195	8.52714	5.98946	18.9342	16.754	4.76356	5.62916	4.20264	5.40434	3.1123	2.46306	6.27511
GABPB1	1.20549	2.69876	0.978164	2.82255	1.09581	1.56508	1.53305	1.77238	1.12157	1.08935	1.03257	2.32005	1.51251	3.29658	1.08253	2.22153	1.94632	1.2713	1.07961	1.08746	1.9498	1.14896	1.36745	1.12909
GABPB2	3.06694	1.69401	1.96407	4.55489	0.846835	1.0618	1.87558	3.09808	3.58494	1.55445	3.00119	4.34434	1.38827	6.41705	2.44046	4.84073	11.6782	3.07587	2.33371	2.18833	3.32381	1.23798	2.2737	2.39995
GABRA1	0.497714	0.0174096	0.0032911	4.70178	0.0460127	0.122624	0.00158866	0.000914901	13.487	0.0332833	0.0188557	0.0406884	0	5.81092	0.000710324	0.454255	0.206471	0.00176797	0.000307836	0.00795405	0	0.00327221	0.00145357	0.0104525
GABRA2	0.000137883	0.000450149	0.0781182	0.968207	0.00924738	0.44769	0.0103514	0.00298066	0.297759	0.0730459	0.00993573	0.0142659	0.0690751	1.5804	0.0994266	0.0515097	0.113686	0.00150854	0.0317347	0.0105983	0.000976082	0.00850306	0.0014376	0.211336
GABRA3	0.0019194	0.06875	0.320749	0.397604	0.000258101	0.142052	0.0192619	0.00101613	1.13415	0.0078606	0.691048	0.220379	0.232537	0.701776	0.195915	0.0969678	0.60838	0.0127634	0.00985806	0.00149611	0.0161109	0.010499	0.0373333	0.00870678
GABRA4	0.00020708	0.00367003	0.000460087	2.81014	0	0.0145732	0.132144	0.010232	1.35077	0.0216601	0.00424179	0.088545	0.000479172	3.84188	0.00148952	0.173567	0.626966	0.000617893	0.00172138	0.000448368	0.00366483	0.000762409	0.00279408	0.00730613
GABRA5	1.59863	0.000528158	0.0020967	4.16698	0.23229	0.13499	0.207482	0.0839328	1.35041	1.24373	0.0028996	0.086406	0.00327551	4.95596	0.0217216	0.149034	0.0469611	1.10982	0.0413806	0	0.0180374	0.00799121	0.00300965	0.0507114
GABRA6	0.0115615	0.000750208	0.000335048	1.46914	0.00662423	0.0612649	0.00107822	0.000465704	4.77105	0.00623149	0.0015445	0.0173054	0.00476893	2.11923	0	0.166611	0.0875499	0.00149989	0.000104463	0.00126252	0.000711689	0	0.000246633	0.0023192
GABRB1	0.0020958	0.00229197	0.00907198	0.922857	0.000680261	0.0628958	0.0121106	0.00189703	0.35478	0.0081891	0.00832695	0.0202149	0.00489138	1.42873	0.000649785	0.0677455	0.0508252	0.00431278	0.0431036	0.000844973	0.00332538	0.00532147	0.00239344	0.0824753
GABRB2	0.62739	0.00218259	0.0300592	0.977557	0.667813	0.338658	0.0773762	0.00509527	0.895512	0.715529	0.0144843	0.0344435	0.000485905	1.6134	0.000791187	0.0434228	0.146082	0.0255404	0.00504969	0.00189662	0.00361015	0.000110446	0.012658	0.129857
GABRB3	2.04123	0.0254874	0.351487	1.71526	1.57247	1.25639	1.13959	1.335	0.86755	2.22928	1.39811	0.144325	0.0471917	2.47695	2.26639	0.49907	0.385767	0.193303	0.585855	0.00425764	1.54283	0.9746	0.607507	0.277126
GABRD	2.54219	0.41606	5.03259	34.6509	1.30723	0.964319	2.11308	0.545073	2.18656	0.413441	1.00896	0.180398	0.0284942	26.4208	0.519968	5.20864	1.75255	0.0966213	0.759192	0.21093	0.503663	0.455889	0.372581	1.07316
GABRE	0.958904	4.03852	2.17962	7.11142	1.66593	3.91654	0.322837	2.49423	9.28086	0.359675	6.62339	0.808908	0.0537088	7.48062	0.607822	1.30833	8.88285	4.19658	1.86614	1.55072	17.3272	0.408587	4.75552	13.7967
GABRG1	0.0019476	0.000330304	0.0141615	1.35157	2.12616	0.131155	0.000949443	0.00109356	0.550177	0.785362	0.0159318	0.0327467	0.00184362	1.77433	0.275298	0.0550938	0.701933	0.0010566	0.00956664	0.000920057	0	0.000651863	0.000651531	0.0852925
GABRG2	0	0.572318	0.457757	2.81403	0	1.6927	0.000952852	0.00219496	6.96919	0.00206511	0.924243	0.0278207	0	3.73793	0.698917	0.466667	1.61553	0.000706931	0.00516977	0.000615574	0.00251576	0.102383	0	0.00578696
GABRG3	0.0372611	0.00347562	0.00146093	0.53553	0.000838151	0.0801667	0.00448103	0.0314748	0.313214	0.00413941	0.136916	0.0272932	0.0020604	1.11527	0.025028	0.0356687	0.0740124	0.00280677	0.0116152	0.0001661	0.109485	0.000302612	0.00131065	0.0063947
GABRP	0.554846	4.30608	0.183301	5.50163	0.150236	0.904048	0.168695	2.9469	4.59055	0.304079	0.392819	0.425844	0.0456744	6.69096	0.00850402	0.379336	0.160133	0.0542959	0.00640944	0.0586316	1.92896	0.0488268	9.83076	0.377086
GABRQ	2.91523	1.36942	2.32475	10.7825	2.02877	2.48677	0.0866558	0.0299427	6.04687	1.24579	5.70645	1.75037	2.57263	11.1625	0.461072	0.698235	3.60638	0.638086	0.191421	0.0465354	2.41662	0.105605	1.10209	4.17959
GABRR1	0.00407057	1.05175	0.637918	8.30599	0.026	0.278735	0.0132528	0.0327736	6.25761	0.00112638	0.0523257	0.088384	0.0222021	6.7663	5.94302	0.901713	0.86074	0.0254485	0.0169186	0.00541404	0.0329323	0.0123105	0.0356643	0.0102583
GABRR2	0.0438736	0.891043	0.697292	9.42216	0.166584	0.99496	0.235991	0.172064	2.23085	0.0959314	0.723251	0.198637	0.151036	7.19303	0.0703441	0.554789	0.886343	0.171068	0.170047	0.232183	0.353455	0.321573	0.264127	0.160345
GABRR3	0.231495	0.00959702	0	4.21631	0.000756611	0.00754232	0.00172414	0	4.1307	0.000622783	0.00588034	0.0194295	0.00446389	3.45766	0.000385448	0.305437	0.05755	0.00127915	0	0.00974617	0.0182085	0.00355124	0.00354943	0.0017452
GAD1	11.7548	3.4711	7.2906	9.27721	4.95759	2.17264	8.17248	4.94318	13.7551	1.96106	2.73857	0.604153	2.57252	10.8206	0.0973639	18.1365	13.5243	3.37485	1.92064	0.469635	8.17144	5.99289	6.42772	0.75553
GAD2	2.84086	2.47966	0.112386	3.87073	0.0125081	1.71986	0.52303	2.66027	1.1992	0.195275	0.37835	0.0373116	0.0436626	4.28708	0.00467289	0.154646	0.441064	0.00951599	0.00938915	0.00360605	0.576953	0.106979	0.364457	0.893185
GADD45A	20.5971	6.52725	14.4292	77.021	13.7731	6.20406	15.1044	6.61413	9.64079	19.4585	10.8806	3.53766	28.9517	70.1044	14.0617	10.2412	16.077	7.21614	17.0056	3.72224	20.3618	17.9571	9.26797	69.1563
GADD45B	9.85126	3.48596	18.3857	66.1779	2.65038	7.93757	4.72577	3.37652	9.01394	1.81327	4.29628	5.08247	14.8245	54.2646	7.89959	2.61169	1.81969	18.2361	3.28289	13.6562	6.70454	8.49518	9.96655	3.40403
GADD45G	35.7515	32.5352	28.8639	102.266	24.8483	3.68726	20.4866	40.8238	9.79076	4.67165	11.4315	5.15881	89.3629	83.3693	13.6427	19.7365	26.0114	36.8187	33.716	7.35472	121.952	74.1892	11.6594	24.9172
GADD45GIP1	23.9593	26.6838	19.7112	17.2114	11.2942	20.3856	25.3805	28.412	11.2436	34.5383	13.5028	16.9623	42.5161	14.57	16.2916	39.7932	46.9581	116.447	54.4035	27.5332	46.5821	78.5304	54.7022	43.6213
GADL1	0.00584389	0.053126	0.0268951	1.77652	0.0766182	0.0194872	0.093515	0.0402478	0.839535	0.00233578	0.00217152	0.0122302	0.00579533	1.80388	0.0472614	0.0740495	0.0514588	0.0178985	0.00134939	0.00180759	0.0223263	0.00358592	0.0381165	0.00654546
GAGE1	0	0.00612786	0.0237184	2.50468	0.0386487	0.0154109	0.0176142	0.0304317	32.7867	0	0.00841052	0.00300753	0	4.53791	0.0334716	1.70043	0.36903	0	0	0.00960134	0	0	0	0
GAGE10	0.307389	0.0937715	0.0987914	2.09269	0.209272	0.506922	0.00259175	0.0477622	43.5208	0.00374471	0.0742511	0.301803	0.237093	1.84257	2.53318	4.01074	1.47619	0.433601	0.0261146	0.278361	0.0855354	0.0071177	0.263221	0.0341043
GAGE12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE12C	0	0	0	0.0481194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE12D	0	0	0	1.86463	0	0	0	0	0	0	0	0	0	2.3715	0	0	0	0	0	0	0	0	0	0
GAGE12E	0	0	0	0.771067	0	0	0	0	14.1736	0	0	0	0	0	0.00256185	0	0	0	0	0	0	0	0	0
GAGE12F	0	0	0	0.865912	0	0	0	0	0.0891244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE12G	0	0	0	0.240827	0	0	0	0	0	0	0	0	0	0.0265226	0	0	0	0	0	0	0	0	0	0
GAGE12H	0	0	0	0.31316	0	0.00222737	0	0	1.09341	0	0	0.00391218	0	0.0530596	0	5.68856	0.0216963	0	0	0	0	0	0	0
GAGE12J	0	0.00199032	0	4.17435	0	0.00444927	0.0114422	0.0329473	159.777	0	0	1.02569	0.162934	1.56334	0.70601	2.43945	0.390055	0	0.0266058	0.00831601	0.015105	0	0.0026173	0.00579097
GAGE13	0	0.00198788	0	2.77548	0	0.0311067	0	0	30.8744	0	0	0.860519	0	4.59163	0.0510974	1.28196	0.630356	0	0	0	0.0150865	0	0	0
GAGE2A	0	0.0159858	0.0618746	1.64256	0.100823	0.0402025	0.0459505	0.0793877	58.2664	0	0.00313438	0.0039229	0	1.54295	0.0873179	3.47411	0.919182	0	0	0.0241195	0	0	0	0
GAGE2E	0	0	0	6.95026	0	0	0	0	164.546	0	0	0.00605226	0	7.77754	0	2.42354	0.562212	0	0	0.0171746	0	0	0	0
GAK	4.22508	5.06681	3.90994	11.9982	2.90386	4.75726	4.14912	6.63403	1.96736	4.71012	3.43767	6.13183	5.56709	11.0758	1.93975	4.21064	6.16757	6.14139	4.38003	5.26316	6.93992	6.51587	8.54261	5.19793
